EDGAR|EBA6755|06/11/2015|15/01/2016|3092.44
EDGAR|EBA6758|06/11/2015|15/01/2016|31307
EDGAR|EBA6759|06/11/2015|15/01/2016|2474.56
EDGAR|EBA6760|06/11/2015|15/01/2016|29589.81
EDGAR|EBA6761|06/11/2015|15/01/2016|29588
EDGAR|ERA3934|06/11/2015|15/01/2016|11200
EDGAR|ERA3945|06/11/2015|15/01/2016|10103.9
EDGAR|ETP245959|06/11/2015|15/01/2016|523800
EDGAR|EGB99758|07/11/2015|15/01/2016|62277
EDGAR|EGB99759|07/11/2015|15/01/2016|66271
EDGAR|ERA3959|07/11/2015|15/01/2016|15264
EDGAR|ETP245991|07/11/2015|15/01/2016|32392.8
EDGAR|ERA4008|10/11/2015|15/01/2016|5287.82
EDGAR|ERA4009|10/11/2015|15/01/2016|18158.64
